Dates,TSM_HIGH,TSM_LOW,TSM_OPEN,TSM_LAST,TSM_IV1st_90%,TSM_IV1st_95%,TSM_IV1st_97.5%,TSM_IV1st_100%,TSM_IV1st_102.5%,TSM_IV1st_105%,TSM_IV1st_110%,TSM_IV2nd_90%,TSM_IV2nd_95%,TSM_IV2nd_97.5%,TSM_IV2nd_100%,TSM_IV2nd_102.5%,TSM_IV2nd_105%,TSM_IV2nd_110%,TSM_IV1m_90%,TSM_IV1m_95%,TSM_IV1m_97.5%,TSM_IV1m_100%,TSM_IV1m_102.5%,TSM_IV1m_105%,TSM_IV1m_110%,TSM_IV2m_90%,TSM_IV2m_95%,TSM_IV2m_97.5%,TSM_IV2m_100%,TSM_IV2m_102.5%,TSM_IV2m_105%,TSM_IV2m_110%,TSM_IV3m_90%,TSM_IV3m_95%,TSM_IV3m_97.5%,TSM_IV3m_100%,TSM_IV3m_102.5%,TSM_IV3m_105%,TSM_IV3m_110%
11/2/2020,58.9,57.81,57.95,58.66,34.5897,29.9689,28.3903,26.8295,26.793000000000006,26.9155,26.8388,31.207,29.0046,28.2431,27.4815,26.7583,26.5273,26.0653,32.1589,29.4356,28.1047,27.6098,27.2009,26.7595,26.034,30.5692,28.9462,28.3579,27.929,27.4676,27.1422,26.6271,29.9481,28.5023,28.0363,27.5703,27.1194,26.8617,26.3463
12/2/2020,59.75,58.9,59.25,59.63,38.5543,29.3173,27.5307,26.2763,26.6918,27.2703,25.3441,30.7736,28.7711,28.1009,27.4307,27.1136,26.9217,26.706,31.8589,28.6424,27.4097,26.8134,26.9079,26.2018,26.756,30.4278,28.5436,28.1321,27.6569,27.392,27.2311,26.827,29.923,28.7239,28.3687,28.0135,27.689,27.3755,26.8107
13/2/2020,59.7,58.735,59.13,59.33,36.1348,30.3297,28.2257,26.87,26.0454,25.9143,29.8149,31.3743,29.2967,28.3266,27.3566,26.908,26.9134,27.0024,32.9664,29.4984,28.5732,27.7206,26.9794,26.6078,26.3275,31.2298,29.2396,28.8341,28.1433,27.7753,27.7059,27.1558,30.4517,29.2528,28.7951,28.3375,27.9244,27.55,26.8388
14/2/2020,59.17,57.87,59.02,58.19,28.9879,28.0696,25.7677,24.0512,22.6801,24.7689,30.5458,29.4853,27.4472,26.9145,26.3819,25.8492,25.6712,25.5857,30.3378,27.8134,26.6235,26.0046,25.8805,25.2666,26.0125,29.9749,28.2658,27.7192,27.3483,26.9067,26.5916,26.2134,29.9788,28.4878,28.0639,27.6401,27.2162,27.2103,27.5177
18/2/2020,56.56,55.63,56.1,56.18,49.3324,40.405,33.159,32.2849,29.292,35.5562,44.0012,32.9498,30.6544,29.5067,28.6513,27.873,27.0947,27.1119,33.1908,30.7071,29.4588,28.5071,27.9058,27.1443,27.2956,31.0758,29.7991,29.1608,28.7321,28.3586,27.9852,27.6369,31.0035,29.6454,28.9669,28.5748,28.2583,27.9418,27.5627
19/2/2020,57.94,57.0,57.25,57.64,72.4028,45.5493,31.5046,28.581,29.1655,29.1655,29.1655,30.8783,28.8587,28.0391,27.2525,26.4659,26.0984,26.7085,30.9908,28.9684,28.1028,27.2584,26.5149,26.1186,26.7035,30.966,29.1544,28.6417,28.1973,27.753,27.4725,27.4375,31.0322,28.9796,28.4548,28.0171,27.5793,27.2616,27.0118
20/2/2020,57.04,55.81,56.94,56.48,49.0065,49.0065,39.9564,32.2331,37.4029,48.0375,48.0375,32.4139,30.3936,29.3917,28.8639,28.3361,27.8082,28.4129,32.4139,30.3936,29.3917,28.8639,28.3361,27.8082,28.4129,31.7583,30.1051,29.2882,29.0058,28.7233,28.4409,28.2927,30.9906,29.8231,29.2439,28.9232,28.6024,28.2817,27.759
21/2/2020,56.65,55.515,56.65,55.59,39.684,36.9345,33.1066,31.7958,32.0479,31.0492,35.3354,35.1997,32.6319,31.3481,30.5048,30.2732,30.0415,30.1408,35.1967,32.4217,31.156,30.2961,30.0783,29.8171,30.4207,32.746,31.2863,30.5568,30.0482,29.8459,29.6436,29.466,31.3794,30.2611,29.702,29.313,29.1599,29.0069,28.9057
24/2/2020,54.69,53.18,53.55,54.12,39.4021,36.6519,35.1084,34.3421,33.592,33.0736,32.7829,35.6606,34.3436,33.7631,33.1825,32.6705,32.2857,31.5162,38.9877,37.1628,35.5384,35.7898,33.456,33.3667,33.576,35.2062,33.9271,33.3962,32.8654,32.3917,32.024,31.2887,33.5439,32.4092,31.9917,31.5742,31.1956,30.8891,30.2762
25/2/2020,55.47,53.83,55.33,53.86,46.0022,40.6633,39.3009,39.1044,38.0182,37.0797,36.2439,38.6917,36.8088,35.9081,35.0074,34.2146,34.0002,33.5713,40.8677,39.2032,37.9852,35.8321,34.5584,33.3586,33.7286,37.9911,36.025,35.2487,34.473,33.7764,33.5012,32.9515,35.7097,33.7701,33.2138,32.6574,32.1399,31.8308,31.2139
26/2/2020,55.41,54.38,54.49,55.03,42.4281,39.4045,38.3637,36.3149,36.1867,35.2825,39.607,40.0118,35.0957,33.6653,32.2348,32.2913,32.3587,32.5633,44.3424,38.1396,37.9842,35.7386,35.1594,34.7513,37.3359,38.2285,34.6731,33.6112,32.5548,32.448,32.3492,32.2389,34.6149,33.1798,32.6371,32.0944,31.822,31.5518,31.0656
27/2/2020,54.6,53.27,54.2,53.29,50.3702,47.3051,45.8915,44.7556,44.1529,42.8146,42.6453,42.93,40.4012,39.9921,39.583,39.1739,38.6705,37.5947,48.9216,46.7768,46.08600000000001,44.4047,42.9722,42.8749,40.7775,41.8411,39.6274,39.1275,38.628,38.1288,37.5889,36.4795,38.7462,37.0351,36.4963,35.9576,35.4191,34.9312,33.9942
28/2/2020,54.05,51.0,51.35,53.84,63.4844,60.459,60.8393,58.4125,54.5748,53.6681,52.2577,51.5022,49.045,47.5296,46.0141,44.4986,43.687,42.1417,57.7927,54.0699,54.6179,55.8795,52.0534,49.7079,50.2428,48.6648,46.3825,45.2038,44.0269,42.8521,42.1365,40.7563,43.2704,41.2172,40.5104,39.8039,39.0977,38.5745,37.5492
2/3/2020,56.01,53.83,54.37,55.98,49.9916,43.7011,41.9984,39.8318,37.9651,38.3803,36.8673,39.3753,38.6891,38.346,37.777,36.9504,36.1238,34.9265,47.1745,41.9568,42.3191,40.6785,37.8884,37.094,37.5052,39.4903,37.9945,37.2503,36.5268,35.8249,35.1232,34.0233,37.4585,35.7334,34.8711,34.1319,33.5328,32.9338,31.9746
3/3/2020,56.37,54.04,56.3,54.88,49.4095,45.4213,43.6057,42.4429,43.7901,38.7737,38.1543,41.5681,38.5328,38.1174,37.702,37.1697,36.6162,35.5704,45.124,41.9491,40.6772,40.6393,39.6506,38.4324,37.898,40.6979,38.4394,37.7913,37.1439,36.5096,35.8776,34.6804,37.6831,36.1138,35.472,34.8304,34.1679,33.5017,32.2236
4/3/2020,57.09,55.55,55.97,57.08,42.6486,37.5065,35.5688,33.2871,32.1126,31.0576,34.1697,37.897,35.8699,34.7692,33.5341,32.2989,31.0637,30.1931,43.6366,37.4552,36.4995,35.7764,34.1241,31.7369,32.5177,36.9783,34.8212,33.8329,32.9847,32.1382,31.2935,30.1349,34.4375,32.5449,31.7545,31.2041,30.6542,30.1049,28.9755
5/3/2020,56.39,55.25,56.11,55.73,52.8396,47.1247,45.1129,41.7648,39.7816,39.149,38.8966,42.4428,42.8177,43.0052,42.0249,39.9836,37.9423,35.2339,48.6133,47.11600000000001,42.2259,38.6291,41.1353,36.9859,37.6144,43.9586,42.3615,40.3215,38.7897,39.8368,38.1165,36.4825,38.4689,36.753,35.8955,35.0788,34.299,33.5192,32.1821
6/3/2020,55.08,53.97,54.6,55.07,61.0137,51.9534,50.3568,50.2753,44.4654,39.5405,51.0345,44.8046,43.1789,43.313,43.4471,42.4593,41.4202,39.3149,54.707,46.5566,51.2355,48.6524,47.6603,45.0305,40.005,47.06800000000001,47.7372,44.4249,42.0886,41.3199,40.2144,38.4043,41.5956,39.3873,38.3619,37.3369,36.8537,36.3971,35.3575
9/3/2020,54.14,51.06,51.55,51.83,71.2271,66.0938,65.3914,63.3546,58.416,57.5744,54.6627,57.348,51.3653,52.6643,49.6561,46.648,43.6399,42.606,61.3398,60.1886,61.3415,52.9371,55.8565,58.4772,52.8898,51.6842,50.3865,49.244,48.7644,46.1107,44.0147,43.8774,48.0433,46.663,45.8507,44.8915,43.9331,42.9757,41.1507
10/3/2020,54.62,52.49,53.71,54.51,69.4252,57.6863,55.1125,52.687,50.6221,47.7285,41.8493,53.2701,48.0556,47.4245,46.7933,45.5545,43.7416,40.1159,59.2628,51.7605,50.6435,47.6485,44.665,45.5007,41.3715,47.8032,45.953,45.0178,44.3121,42.9467,42.2206,40.8072,43.5388,41.9311,41.4288,40.9282,40.2744,39.4747,37.8758
11/3/2020,53.56,52.09,53.11,52.24,72.307,63.9129,61.9397,56.705,51.6229,49.0951,51.9092,58.8862,53.5061,52.6577,50.4363,48.2149,45.9934,44.1139,63.7718,55.4485,56.445,55.8099,55.6167,46.8295,45.0244,50.7648,49.184,48.0861,46.9263,45.572,44.7673,43.3451,47.2682,45.4369,44.47,43.4862,42.5024,41.5187,40.4223
12/3/2020,50.99,48.51,49.66,48.69,92.0942,83.7778,80.4566,77.1355,73.6133,69.4022,73.3902,66.471,59.3809,57.5313,59.2241,61.3599,59.5182,55.835,67.2511,68.1407,65.6135,64.054,67.5027,66.4113,62.2584,60.1737,57.7581,57.0066,56.5832,56.1884,55.9431,55.2126,53.5645,51.9091,51.4611,51.0153,50.5385,49.7358,48.1379
13/3/2020,52.46,49.29,51.9,52.23,93.0598,94.7254,90.8799,80.0365,48.0143,52.1873,71.6324,58.1941,60.2222,60.3135,56.102,51.8905,47.6789,41.8127,64.3643,61.6122,62.6746,58.3665,52.1902,49.5096,44.7482,56.7054,53.7242,51.8266,49.1682,45.79600000000001,43.4593,45.6586,50.9035,49.284,47.5976,45.4222,43.2478,41.0745,40.5241
16/3/2020,48.35,44.9,46.34,44.9,135.8498,120.0384,112.1327,107.8093,108.1349,108.4604,108.4345,79.6538,77.4722,75.6022,70.6705,70.9014,69.475,62.5114,80.2419,78.7313,77.149,72.7057,72.6523,71.2466,63.6507,66.8293,67.0143,67.1077,65.75399999999999,62.5221,59.2914,52.977,58.9009,57.6524,57.0387,55.8622,53.956,52.062,48.3757
17/3/2020,48.56,45.03,45.75,48.54,122.8696,106.345,108.3575,88.20299999999997,77.9533,81.3547,86.0817,66.558,62.7535,62.7171,60.4202,56.2407,56.4608,56.4454,66.558,62.7535,62.7171,60.4202,56.2407,56.4608,56.4454,65.1289,61.3601,59.377,57.394,55.4111,54.038,51.6282,58.4555,55.5539,53.9589,52.3645,50.7707,49.7485,48.0209
18/3/2020,46.089,43.26,43.8,44.37,140.4588,130.7989,132.0044,124.1122,126.752,120.3226,124.8829,77.6045,74.0034,72.7745,70.608,74.1187,72.2862,69.273,77.9948,75.0835,74.3332,72.6564,74.4306,72.2827,68.9666,72.4601,69.9956,68.7887,67.5824,66.4366,65.5416,63.7535,66.7438,64.9229,64.19800000000001,63.4747,62.8031,62.3417,61.4237
19/3/2020,45.18,42.7,43.74,43.89,194.1147,148.1309,142.9149,131.9221,141.7563,166.9318,134.2095,79.8329,81.28699999999998,78.6289,77.3337,75.3929,73.0039,65.5688,84.6679,82.4741,79.9673,77.1237,76.0749,73.9083,71.3294,72.6467,69.8297,68.1602,66.4987,64.8459,63.6977,61.4594,63.3435,62.2658,62.0376,61.8289,61.6397,61.2349,60.4152
20/3/2020,48.28,44.48,48.02,44.53,98.6865,89.5717,86.1044,85.9445,85.13,87.0385,75.8804,73.6512,67.429,64.39699999999999,64.9512,64.7629,62.2605,58.0525,74.0914,69.3341,67.4764,68.0237,66.90899999999999,63.1846,60.8811,65.3134,62.4356,60.9993,59.5649,58.3293,57.1773,54.8763,57.1493,55.6204,54.8614,54.1063,53.4005,52.7159,51.3523
23/3/2020,45.605,43.52,45.12,45.26,70.4509,65.1667,63.9378,62.3337,63.6476,60.8016,55.14100000000001,61.665,60.0699,59.2724,58.2903,56.9489,55.6075,52.9246,73.1037,68.5544,66.2569,64.3845,67.8233,63.0328,60.8978,59.8577,58.2396,57.4308,56.4786,55.2474,54.0166,51.5562,55.6117,53.9302,53.0896,52.2078,51.2456,50.2839,48.362
24/3/2020,48.92,47.5,48.0,48.87,62.389,57.6019,55.5853,52.6241,51.566,52.5274,52.7942,56.6603,53.4247,51.8805,50.3363,48.7359,46.6068,42.3488,61.6211,67.4943,60.2154,60.8751,59.3312,53.5042,43.7431,54.2285,51.5289,50.2993,49.0748,47.7999,46.0046,42.4335,49.1503,47.622,47.0689,46.521,45.9231,44.809,42.598
